Time, Tuple Count, Packet Count
0 s, 0, 0
4160 ms, 1, 0
4200 ms, 1, 0
4410 ms, 2, 0
4550 ms, 2, 0
4990 ms, 3, 0
5 s, 3, 0
7270 ms, 4, 0
7380 ms, 4, 0
7570 ms, 5, 0
7600 ms, 5, 0
7990 ms, 6, 0
9990 ms, 7, 0
10830 ms, 7, 0
11130 ms, 8, 0
11200 ms, 8, 0
11630 ms, 9, 0
11860 ms, 9, 0
12990 ms, 10, 0
13300 ms, 10, 0
14990 ms, 11, 0
15100 ms, 11, 0
15290 ms, 12, 0
15600 ms, 12, 0
15990 ms, 13, 0
16250 ms, 13, 0
18990 ms, 14, 0
19200 ms, 14, 0
20180 ms, 15, 0
20280 ms, 15, 0
20470 ms, 16, 0
20570 ms, 16, 0
21420 ms, 17, 0
21520 ms, 17, 0
21710 ms, 18, 0
21810 ms, 18, 0
22210 ms, 19, 0
22330 ms, 19, 0
22540 ms, 20, 0
22540 ms, 0, 1
22660 ms, 0, 0
23090 ms, 1, 0
23200 ms, 1, 0
