Time, Bytes
200799800 us, 1000000
200800 ms, 1000000
222399600 us, 2000000
222400 ms, 2000000
228999400 us, 3000000
229 s, 3000000
235599200 us, 4000000
235900 ms, 4000000
241300 ms, 4000024
241500 ms, 4000024
244 s, 4000048
244200 ms, 4000048
246700 ms, 4000072
246900 ms, 4000072
249300 ms, 4000096
249500 ms, 4000096
257199 ms, 5000480
274300 ms, 5000000
277200 ms, 5000024
277500 ms, 5000024
280400 ms, 5000048
280700 ms, 5000048
284800 ms, 5000072
285400 ms, 5000072
287800 ms, 5000096
288400 ms, 5000096
302200 ms, 5000120
302500 ms, 5000120
304200 ms, 5000144
304500 ms, 5000144
309500 ms, 5000168
309900 ms, 5000168
326300 ms, 5000192
326900 ms, 5000192
340800 ms, 5000216
341800 ms, 5000240
342900 ms, 5000240
350800 ms, 5000264
353600 ms, 5000288
353900 ms, 5000288
356800 ms, 5000312
371900 ms, 5000312
374800 ms, 5000336
375100 ms, 5000336
378 s, 5000360
378300 ms, 5000360
380800 ms, 5000384
390800 ms, 5000384
405800 ms, 5000408
406400 ms, 5000408
408800 ms, 5000432
409400 ms, 5000432
433 s, 5000456
433300 ms, 5000456
436200 ms, 5000480
436200 ms, 5000480
436500 ms, 5000000
439400 ms, 5000024
