Time, Bytes
206 s, 1000000
206100 ms, 1000000
240 s, 2000000
240800 ms, 2000000
255100 ms, 2500024
259 s, 3000480
276100 ms, 3750000
278 s, 4000000
278100 ms, 4000000
278400 ms, 4000024
278600 ms, 4000024
280700 ms, 4000048
280900 ms, 4000048
283 s, 4000072
283200 ms, 4000072
285300 ms, 4000096
285400 ms, 4000096
286100 ms, 4000120
298100 ms, 4000144
298500 ms, 4000144
300100 ms, 4000168
300500 ms, 4000168
305500 ms, 4125192
305800 ms, 4125192
312 s, 5000480
312100 ms, 5000480
314800 ms, 5000504
315200 ms, 5000504
331600 ms, 5000048
332200 ms, 5000048
346100 ms, 5000072
347100 ms, 5000096
348200 ms, 5000096
356100 ms, 5000120
358900 ms, 5000144
359200 ms, 5000144
362100 ms, 5000168
377200 ms, 5000168
380100 ms, 5000192
380400 ms, 5000192
383300 ms, 5000216
383600 ms, 5000216
386100 ms, 5000240
396100 ms, 5000240
411100 ms, 5000264
411700 ms, 5000264
414100 ms, 5000288
414700 ms, 5000288
438300 ms, 5000312
438600 ms, 5000312
441500 ms, 5000336
441800 ms, 5000336
444700 ms, 5000360
