Time, Bytes
211718750 us, 1000000
211800 ms, 1000000
253500 ms, 1625024
253900 ms, 1625024
256 s, 1750048
257400 ms, 1875048
259062500 us, 2000480
259100 ms, 2000480
260800 ms, 2000504
281800 ms, 2375024
284400 ms, 2500048
285300 ms, 2500048
290 s, 2875072
291406250 us, 3000480
291500 ms, 3000480
307200 ms, 3000024
307500 ms, 3000024
323750 ms, 4000480
323800 ms, 4000480
326200 ms, 4000504
326500 ms, 4000504
331500 ms, 4000528
331800 ms, 4000528
339800 ms, 4000072
340900 ms, 4000072
346300 ms, 4000096
346900 ms, 4000096
352800 ms, 4000120
353900 ms, 4000120
365500 ms, 4625144
365900 ms, 4625144
370800 ms, 4875168
371093750 us, 5000480
382900 ms, 5000480
385800 ms, 5000504
386100 ms, 5000504
389 s, 5000048
389300 ms, 5000048
391800 ms, 5000072
401800 ms, 5000072
416800 ms, 5000096
417400 ms, 5000096
419800 ms, 5000120
420400 ms, 5000120
444 s, 5000144
444300 ms, 5000144
447200 ms, 5000168
447500 ms, 5000168
450400 ms, 5000192
