Time, Bytes
231246093750 ns, 1000000
231300 ms, 1000000
273 s, 1392399
273400 ms, 1418024
275500 ms, 1552423
276900 ms, 1642048
281300 ms, 1923697
281400 ms, 1930072
282492187500 ns, 2000480
301300 ms, 2000000
303900 ms, 2050274
304800 ms, 2107899
309500 ms, 2408673
311300 ms, 2523923
318738281250 ns, 3000480
318800 ms, 3000000
326700 ms, 3000024
327 s, 3000024
345 s, 3360923
346700 ms, 3469798
351 s, 3744947
351300 ms, 3764197
354984375 us, 4000480
355 s, 4000480
359300 ms, 4000024
360400 ms, 4000024
365800 ms, 4000048
366400 ms, 4000048
372300 ms, 4000072
373400 ms, 4000072
385 s, 4000096
385400 ms, 4000096
390300 ms, 4000120
390700 ms, 4006120
396300 ms, 4364519
397400 ms, 4434894
406230468750 ns, 5000480
406300 ms, 5000000
408500 ms, 5000024
408800 ms, 5000024
411300 ms, 5000048
421300 ms, 5000048
436300 ms, 5000072
436900 ms, 5000072
439300 ms, 5000096
439900 ms, 5000096
